,degree,count
0,193,27
1,211,14
2,183,12
3,210,27
4,192,28
5,236,1
6,223,2
7,222,9
8,209,27
9,230,1
10,190,25
11,225,2
12,232,1
13,224,6
14,177,5
15,185,24
16,206,36
17,212,23
18,182,15
19,218,9
20,205,23
21,168,1
22,178,7
23,169,1
24,191,19
25,227,4
26,165,2
27,207,27
28,179,9
29,189,14
30,197,34
31,202,27
32,231,2
33,175,5
34,196,30
35,217,11
36,229,1
37,173,3
38,220,6
39,176,3
40,238,1
41,171,3
42,194,28
43,216,16
44,181,6
45,249,1
46,167,1
47,219,12
48,226,10
49,214,18
50,195,32
51,203,35
52,221,4
53,200,27
54,213,20
55,228,5
56,170,2
57,188,21
58,204,30
59,198,38
60,199,32
61,242,1
62,201,30
63,184,12
64,186,20
65,215,11
66,174,4
67,180,9
68,208,25
69,187,23
